snapshot_pkl,kimg,lpips_avg
network-snapshot-000000.pkl,0,0.6103692980189073
network-snapshot-000004.pkl,4,0.6129114395693729
network-snapshot-000008.pkl,8,0.6175841971447593
network-snapshot-000012.pkl,12,0.6282804567562906
network-snapshot-000016.pkl,16,0.6208557254389713
network-snapshot-000020.pkl,20,0.6050830532061426
network-snapshot-000024.pkl,24,0.5853542886282268
network-snapshot-000028.pkl,28,0.5667488192257129
network-snapshot-000032.pkl,32,0.5476899096840306
network-snapshot-000036.pkl,36,0.5394950314571983
network-snapshot-000040.pkl,40,0.5251441602644168
network-snapshot-000044.pkl,44,0.5181087015490783
network-snapshot-000048.pkl,48,0.5148822749131604
network-snapshot-000052.pkl,52,0.5310624284179587
network-snapshot-000056.pkl,56,0.5283690763147254
network-snapshot-000060.pkl,60,0.542368554206271
network-snapshot-000064.pkl,64,0.5334653372827329
network-snapshot-000068.pkl,68,0.5284273744413727
network-snapshot-000072.pkl,72,0.5146492293790768
network-snapshot-000076.pkl,76,0.5046137866220977
network-snapshot-000080.pkl,80,0.49520369736771835
network-snapshot-000084.pkl,84,0.48072473657758613
network-snapshot-000088.pkl,88,0.46476397349646215
network-snapshot-000092.pkl,92,0.45050944270272003
network-snapshot-000096.pkl,96,0.4502837550483252
network-snapshot-000100.pkl,100,0.4480318273368635
network-snapshot-000104.pkl,104,0.44026018616400264
