snapshot_pkl,kimg,msssim_avg
network-snapshot-000000.pkl,0,0.32400062372417826
network-snapshot-000004.pkl,4,0.3140537232552704
network-snapshot-000008.pkl,8,0.3023015343241001
network-snapshot-000012.pkl,12,0.2960399810028704
network-snapshot-000016.pkl,16,0.2914723745890354
network-snapshot-000020.pkl,20,0.2954131145226328
network-snapshot-000024.pkl,24,0.30371850234897513
network-snapshot-000028.pkl,28,0.3069545713106268
network-snapshot-000032.pkl,32,0.30697838254272936
network-snapshot-000036.pkl,36,0.28700163179126226
network-snapshot-000040.pkl,40,0.289800710956517
network-snapshot-000044.pkl,44,0.28981535516091084
network-snapshot-000048.pkl,48,0.2770987500191519
network-snapshot-000052.pkl,52,0.27289284483382575
network-snapshot-000056.pkl,56,0.25674105572857353
network-snapshot-000060.pkl,60,0.21939085705303832
network-snapshot-000064.pkl,64,0.20413952429141652
network-snapshot-000068.pkl,68,0.2016763531897021
network-snapshot-000072.pkl,72,0.20888935274101403
network-snapshot-000076.pkl,76,0.2138722551888541
network-snapshot-000080.pkl,80,0.2251529163950564
network-snapshot-000084.pkl,84,0.23057866031794172
network-snapshot-000088.pkl,88,0.24240209324971626
network-snapshot-000092.pkl,92,0.2608073144170799
network-snapshot-000096.pkl,96,0.25246409409140286
network-snapshot-000100.pkl,100,0.24905303061792725
network-snapshot-000104.pkl,104,0.24845589099353865
